date,team,points,assists,biggest lead,blocks,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,lead changes,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points in the paint,rebounds,rest,site,site streak,steals,streak,team rebounds,three pointers attempted,three pointers made,times tied,total,turnovers,wins,o:team,o:points,o:assists,o:biggest lead,o:blocks,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:losses,margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:points in the paint,o:rebounds,o:rest,o:site,o:site streak,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:turnovers,o:wins,season
20091118,Grizzlies,106,23,22,4,29,15,81,44,23,19,16,11,0,8,15,4,18,10,1,0,9,0,56,38,3,home,1,7,1,7,10,2,0,199.0,12,2,Clippers,91,19,0,2,26,13,82,39,22,18,11,8,15,-4,-18,-10,0,1,12,40,38,0,away,-2,7,-1,7,10,2,12,4,2009
20091118,Hawks,105,23,19,6,28,19,89,38,19,28,21,12,5,2,15,3,7,17,0,0,15,0,44,43,1,home,2,7,5,14,20,8,7,191.5,8,9,Heat,90,16,5,8,33,14,79,35,28,16,11,3,15,-3,-7,-17,0,0,9,28,42,0,away,5,3,-1,8,21,9,14,7,2009
20091118,Jazz,104,25,18,3,36,19,84,41,18,29,19,11,0,6,13,16,3,9,0,0,13,0,54,49,3,home,-4,7,-1,10,11,3,0,212.5,10,4,Raptors,91,14,0,4,34,12,91,34,21,22,17,6,13,-16,-3,-9,0,0,16,36,50,0,away,-3,4,-2,6,25,6,11,5,2009
20091118,Magic,108,25,30,5,38,12,81,39,16,26,17,12,1,3,14,11,30,18,1,0,9,0,40,47,1,home,3,5,2,8,31,13,2,195.0,13,8,Thunder,94,18,2,3,37,20,83,34,21,23,18,5,14,-11,-30,-18,0,1,5,28,42,0,away,-1,10,1,8,21,8,12,6,2009
20091118,Mavericks,99,16,8,6,32,18,100,40,24,21,16,12,10,3,5,-2,4,2,1,0,17,0,46,49,1,home,-4,8,3,5,17,3,10,196.5,5,8,Spurs,94,22,5,8,42,7,78,34,27,24,19,4,5,2,-4,-2,0,1,8,22,50,3,away,3,1,-1,10,15,7,18,4,2009
20091118,Pacers,103,23,19,7,33,10,77,34,29,39,27,9,7,3,-7,1,10,15,0,1,13,0,32,46,0,home,-1,7,5,8,26,8,5,215.0,20,5,Knicks,110,26,9,4,33,17,73,35,31,41,30,9,-7,-1,-10,-15,1,0,7,36,40,4,away,3,10,-6,10,25,10,16,1,2009
20091118,Seventysixers,86,19,10,7,27,20,79,34,19,15,12,11,10,6,2,7,4,9,0,0,11,0,46,38,3,home,-1,8,-2,7,16,6,8,182.5,12,4,Hornets,84,20,5,2,31,16,71,30,13,24,17,7,2,-7,-4,-9,0,0,10,32,41,1,away,-1,9,-5,10,24,7,16,3,2009
20091118,Timberwolves,84,17,5,6,24,14,79,36,15,10,8,12,5,10,-13,-2,-1,-6,0,0,12,0,32,36,3,home,-1,12,-10,6,15,4,7,197.0,22,1,Rockets,97,21,13,1,28,9,90,39,12,10,7,5,-13,2,1,6,0,0,18,44,46,0,away,1,13,-1,11,28,12,21,6,2009
20091118,Trailblazers,87,25,20,5,30,12,70,33,19,23,16,13,2,4,6,4,20,10,0,0,6,0,30,36,1,home,-5,3,-1,9,16,5,1,179.5,14,8,Pistons,81,13,3,3,27,10,80,31,25,18,15,6,6,-4,-20,-10,0,0,12,28,39,0,away,-1,5,-2,12,15,4,12,5,2009
20091118,Wizards,108,21,20,4,33,15,84,36,15,35,31,10,11,7,17,-10,3,-7,1,0,16,0,38,49,3,home,1,6,-6,8,23,5,5,195.0,12,2,Cavaliers,91,21,17,7,29,11,78,35,26,15,14,3,17,10,-3,7,0,1,6,40,35,0,away,2,8,5,4,22,7,15,8,2009
20091119,Pelicans,110,24,13,2,31,15,97,39,18,23,19,13,13,8,7,4,2,3,1,0,25,0,36,56,1,home,1,7,1,11,25,13,7,216.5,16,4,Suns,103,26,8,7,24,9,83,38,23,22,16,2,7,-4,-2,-3,0,1,14,30,38,1,away,-1,11,2,8,28,11,11,10,2009
20091119,Lakers,108,20,24,4,36,10,92,42,17,22,18,12,2,3,15,6,17,11,0,0,14,0,60,50,1,home,2,8,1,8,19,6,6,193.0,12,8,Bulls,93,24,2,2,34,19,84,38,19,17,12,4,15,-6,-17,-11,0,0,10,40,44,1,away,-1,9,2,2,15,5,15,6,2009
20091119,Spurs,83,20,5,6,31,3,75,32,25,23,15,10,1,5,-7,-1,0,-4,1,0,10,0,30,41,0,home,-1,1,-2,16,20,4,8,197.0,11,4,Jazz,90,26,12,4,27,6,78,36,24,20,14,6,-7,1,0,4,0,1,8,42,35,0,away,1,6,1,7,9,4,9,5,2009
20091120,Bucks,95,24,18,3,29,10,82,34,28,21,17,10,7,3,7,5,16,12,0,0,14,0,30,43,1,home,5,5,1,7,28,10,1,181.0,14,6,Hornets,88,18,3,6,33,10,59,30,20,43,26,8,7,-5,-16,-12,0,0,2,40,35,1,away,-2,8,-6,13,14,2,11,3,2009
20091120,Celtics,78,20,2,7,29,17,87,30,25,18,16,13,4,3,-5,-16,-7,-3,0,0,14,0,38,43,1,home,1,11,1,8,19,2,3,190.0,12,9,Magic,83,19,16,7,35,5,70,29,24,26,15,3,-5,16,7,3,0,0,7,24,42,1,away,4,7,3,18,22,10,20,9,2009
20091120,Clippers,106,28,19,6,26,18,73,36,24,33,27,14,1,9,7,-5,15,10,0,0,7,0,40,33,1,home,-3,8,-2,10,17,7,2,208.0,13,4,Nuggets,99,20,12,3,26,9,70,34,27,33,27,3,7,5,-15,-10,0,0,8,40,34,2,away,2,8,2,8,17,4,17,8,2009
20091120,Hawks,105,21,10,11,24,18,78,39,22,26,19,13,12,2,2,2,5,4,0,0,15,0,40,39,1,home,3,6,6,12,20,8,15,205.5,15,10,Rockets,103,18,6,0,22,13,92,39,18,21,18,5,2,-2,-5,-4,0,0,20,52,42,1,away,-1,7,1,9,22,7,12,7,2009
20091120,Mavericks,104,28,11,4,27,21,93,42,15,21,15,13,4,3,2,-2,3,5,0,0,17,0,50,44,1,home,1,10,4,7,19,5,5,202.0,14,9,Kings,102,21,5,5,33,26,81,43,23,14,10,5,2,2,-3,-5,0,0,11,50,44,2,away,4,6,-1,4,16,6,21,5,2009
20091120,Pacers,95,22,10,8,32,8,81,38,22,21,15,10,2,4,-10,0,5,-5,0,0,9,0,36,41,1,home,1,8,-1,4,18,4,15,199.5,10,5,Cavaliers,105,15,10,4,36,9,78,36,17,34,27,4,-10,0,-5,5,0,0,11,40,47,1,away,-1,6,-1,6,13,6,14,8,2009
20091120,Raptors,120,28,23,7,34,6,71,41,28,36,29,13,6,7,7,2,6,20,0,0,9,0,38,43,1,home,-4,3,-3,4,15,9,6,201.0,20,5,Heat,113,22,4,1,25,6,89,39,27,34,28,4,7,-2,-6,-20,0,0,15,38,40,1,away,-1,7,-2,6,23,7,9,7,2009
20091120,Seventysixers,97,23,5,7,17,26,81,37,21,19,14,12,17,6,-5,-6,-7,1,0,0,11,0,42,28,1,home,1,15,1,6,21,9,9,197.0,17,5,Grizzlies,102,22,10,3,31,21,79,41,17,25,17,8,-5,6,7,-1,0,0,17,48,48,1,away,2,10,2,13,11,3,20,3,2009
20091120,Thunder,127,18,19,5,30,28,83,44,23,33,28,13,0,6,19,3,9,7,0,0,12,0,48,42,1,home,-2,14,-1,7,21,11,3,195.0,15,6,Wizards,108,19,0,3,24,10,86,41,22,27,19,7,19,-3,-9,-7,0,0,16,52,40,1,away,2,8,1,8,15,7,20,3,2009
